127.0.0.1, 2017-01-16 13:36:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:36:41, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.118000
127.0.0.1, 2017-01-16 13:36:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:36:43, GET, /teste/appadmin/index, HTTP/1.1, 500, 0.024000
127.0.0.1, 2017-01-16 13:36:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:36:44, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.111000
127.0.0.1, 2017-01-16 13:36:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:38:14, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.116000
127.0.0.1, 2017-01-16 13:38:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:38:15, GET, /teste/appadmin/index, HTTP/1.1, 500, 0.022000
127.0.0.1, 2017-01-16 13:38:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:38:16, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.144000
127.0.0.1, 2017-01-16 13:38:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/default/edit/teste/models/db.py, HTTP/1.1, 200, 0.427000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.059000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.167000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/css/web2py-codemirror.css, HTTP/1.1, 200, 0.132000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.166000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/js/ajax_editor.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/codemirror/emmet.min.js, HTTP/1.1, 200, 0.095000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/js/typeahead.min.js, HTTP/1.1, 200, 0.092000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-01-16 13:38:50, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2017-01-16 13:38:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:38:50, GET, /teste/appadmin/hooks, HTTP/1.1, 500, 0.059000
127.0.0.1, 2017-01-16 13:38:51, GET, /admin/default/edit/teste/models/db.py, HTTP/1.1, 200, 0.170000
127.0.0.1, 2017-01-16 13:38:51, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.213000
127.0.0.1, 2017-01-16 13:38:51, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.248000
127.0.0.1, 2017-01-16 13:38:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.300000
127.0.0.1, 2017-01-16 13:38:51, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-01-16 13:38:51, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.241000
127.0.0.1, 2017-01-16 13:39:10, POST, /admin/default/edit/teste/models/db.py, HTTP/1.1, 200, 0.112000
127.0.0.1, 2017-01-16 13:39:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-01-16 13:39:51, GET, /teste/appadmin/hooks, HTTP/1.1, 500, 0.754000
127.0.0.1, 2017-01-16 13:40:03, GET, /admin/default/edit/teste/models/db.py, HTTP/1.1, 200, 0.051000
127.0.0.1, 2017-01-16 13:40:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-01-16 13:40:03, GET, /admin/default/edit/teste/models/db.py, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-01-16 13:40:03, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.090000
127.0.0.1, 2017-01-16 13:40:03, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.145000
127.0.0.1, 2017-01-16 13:40:03, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.190000
127.0.0.1, 2017-01-16 13:40:03, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.127000
127.0.0.1, 2017-01-16 13:40:05, GET, /teste/appadmin/hooks, HTTP/1.1, 200, 2.265000
127.0.0.1, 2017-01-16 13:40:13, GET, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2017-01-16 13:40:13, GET, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-01-16 13:40:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:40:15, GET, /admin/default/design/teste, HTTP/1.1, 200, 0.114000
127.0.0.1, 2017-01-16 13:40:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/appadmin/index, HTTP/1.1, 200, 0.551000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/js/calendar.js, HTTP/1.1, 304, 0.006000

127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/static/images/favicon.ico, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-01-16 13:40:17, GET, /teste/appadmin/hooks, HTTP/1.1, 200, 0.255000
10.2.21.31, 2017-01-16 13:40:34, GET, /, HTTP/1.1, 303, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.446000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
10.2.21.31, 2017-01-16 13:40:34, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:35, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:35, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:35, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
10.2.21.31, 2017-01-16 13:40:35, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
10.2.21.31, 2017-01-16 13:40:45, GET, /, HTTP/1.1, 303, 0.000000
10.2.21.31, 2017-01-16 13:40:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.489000
10.2.21.31, 2017-01-16 13:40:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.436000
